gene,Ca44,Cd111,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Zn66
YBL083C,0.372423895606056,0.350590634253473,-1.0753721571285,-3.23512293541949,1.5963337994613,0.918239633527215,-2.59146492717008,3.80684561669911,-0.064332952242471,0.305509454998558,-1.02066023783042,-1.031950502012,0.064102195615829,1.51768496010262
YBL093C,1.59572683393691,-4.51256666164026,-4.89324299782992,-0.070857097171769,0.660832095353294,-1.26370016113334,1.62757332354624,1.51556482834051,0.157008261428434,-2.06479669219142,-1.5428692965288,0.613163958853105,-0.779863259813182,-0.550933096634506
YBL094C,4.05968098692123,-0.588862718944846,1.66409252019819,0.541117115376382,0.549315887767049,0.075017754571356,5.18032490796261,1.94956034078296,-1.08103954450687,-0.312090874864478,1.45185876086093,6.2476508730033,0.379825127641871,2.16521664661911
YBL102W,1.59398242292391,4.23988144841327,0.828773816599234,0.471693161749566,-0.491361619068906,-0.701836909872057,1.03909493373549,2.25268972296316,-1.70753682891169,-2.90972765326236,3.11686778012614,0.190816736491563,0.857316836794415,0.851645456536098
YBL106C,1.62976419126354,3.52466033863565,2.25839586467415,0.826847277937174,-1.02232062162917,-1.11891279408072,0.675774714758211,0.735520724030317,0.87960651773441,-0.801983861689348,2.21968673443774,1.91807451448183,1.62910879732389,0.511809423201638
YBR020W,0.902796979542175,3.75963931287901,1.35852236074818,0.270886089154088,-2.1663684236233,0.612060822992739,-0.201133766761917,1.51153940218818,-0.764674513503898,-2.46472899496931,0.111315266927928,0.27609503058429,-0.226986048561387,-0.388878371905125
YBR023C,0.913500898995217,3.88447978069416,2.03764083366739,0.133961723516216,-0.334368586571401,1.27500705688098,0.42474648488075,2.07556179764274,1.54216515749123,-3.24018930346475,0.988218607559141,-0.064457887436211,0.327849513131062,0.840729903789575
YBR034C,-2.31972748620787,5.32755689652012,2.48368031237061,-0.30743909659254,0.522054926185021,0.231216967125944,-0.24610660838235,1.66721425009584,0.343170067390507,-3.59378864084784,2.31139655537273,-0.054722683963264,1.31083029679315,-0.45888990060325
YBR036C,2.94646762924489,-4.79081771328749,-4.65430107113667,-1.06411662313401,-0.730726152393351,-2.8303294374483,-3.779782241811,-0.547982470362485,-1.17150072563946,-2.40726390754689,-2.93187994244185,-3.73236314559317,-0.563156628102768,-0.661702216021572
YBR081C,2.262876778,-2.562757953,-2.210833456,0.630502575,0.61294241,-0.406096217,-0.600586759,0.605965513,8.475797493,-1.249848984,-1.712598852,0.464288435,-1.070143766,1.500744978
YBR097W,0.447827115740524,4.90994366331444,1.61122192571204,-0.969377687451832,-0.078168994686257,0.9066674631029,-1.59704387504168,0.008964441130776,1.94662776409992,0.585758311342922,-0.192331385158351,-2.87916146842096,-1.88050157285792,-0.627187789901362
YBR101C,14.24449551,-1.963273637,-2.986796463,-0.741770786,1.051559378,-3.836685795,-5.676197466,1.044361808,1.833620807,1.312545186,-3.731462174,-1.401247687,1.285055052,0.00609711
